A	B	C	label
胆子再大的市委书记也绝对不敢找反贪局双规纪委书记。这消息要是一传出来，省委书记直接就能把他给切喽，把他先规了再说。	黄一直混在媒体圈子，小桥老树人家好歹混到副处级，为人也比他低调多了，沉得下心用在文字上	小桥老树的三观正确、积极、正面，黄晓阳急功近利，认为自己文章写得好，当然也能当大官。	others
没美术功底学ui压力大吗	需要素描色彩和审美ps技巧	谢谢	others
其实站在被资助者角度来看，也是一件很难做的事情。丛飞他很伟大，但是太伟大了，谁胆敢步他后尘？如果你是被丛飞资助的人，你敢报恩吗？假设他资助你三千元让你读完整个初中，那你要还他多少钱？三千元？再仔细想想吧！要还一万元！两万元！甚至无穷无尽的钱！！！ 为什么？因为丛飞很伟大，你也必须伟大，必然别人就会来骂你！这就是“子贡赎人”和“子路受牛”的故事。（不懂这两个词就拖曳百度一下。）现在丛飞就是那个子贡，无条件帮助别人，导致道德标准上升了，现在别人要报恩于他，就必须无条件地无限量地报恩。再加上“旁观者效应”——别人都没有帮他，凭什么我要去帮他。这样的心理作用下，自然也就没人愿意帮丛飞了。——受到这些“感动中国”的影响，某些中国人的道德标准变得很奇怪。比如，微博上的段子手，B站的UP主，还有知乎大V，微信公众号。一开始群众会把一些人捧高高，仿佛他大公无私，无私地为群众奉献。然后，如果一旦知道他是在赚钱，就变得很糟糕的样子，拼命踩下去。然而，一个人给你提供了服务，贡献了他的知识、时间、劳动，同时也获得了金钱，有什么不好的？恰恰相反，某些中国人就是觉得很不好。段子手和大V、UP主就必须是免费的，无私的贡献给我们，不能够以此赚钱。（最讽刺的是，一些看似免费的大V，往往是赚钱赚得最多的那些。那些自以为占便宜的人，却是贡献出最大力量的人。）我不是回忆专用小马甲的粉丝，甚至很讨厌他，但是在某个揭露段子手的文章里，出现了这么一句话：“小马甲家的狗吃得比你好。”这句话真是让人恶心，下面还很多人赞同这句话。他依靠狗成名，赚了那么多钱，让狗吃好一点，有什么问题？如果他一条广告赚一万，拿出九千元给狗买东西，一点也不为过。——	私以为助人者的错和受助者的错是两码事，不能因为助人者做得不好，受助者的恶就可以原谅。那些声称“承认受助丢人”之类的举动在我看来已突破底线，你觉得丢人你TM当初还伸手接？！子贡赎人带来负面影响子贡有错，但被子贡赎出来的人一定是最没资格说他不是的，如果觉得子贡赎了自己对自己是一种羞辱，有种滚回去再当奴隶好了。	恩。	others
想想陈冠希	陈冠希不是作恶多端的帅哥么(ಡωಡ) 有人骂他渣男？	我	others
“基本”。麻烦看清了字词再批判，况且贵武汉是否吸血湖北除了您之外还真没人在意。	呵...湖北与四川第二名相差近一半，你一个“基本”就概括了，所以啊，麻烦你还是好好做功课，说你“基本”是个外行，你愿意不？	愿意。	others
没关系，想点开心的，以后工作可以到外地去，重新过好自己的生活。我们不能每天在悲伤和渴望理解中度过，既然来了这个世界，那就让打开心扉，让自己活得开心一点，有时间就多去走走，即便是所在的城市，去一个不常去的街道，都会带给我们惊喜，路边的小吃说不定很美味噢～街上陌生的小孩也在对你微笑，一切都很美好～	可是不想进入社会我有点自闭	我以前也有一点，都不敢跟陌生人说话。然后认识了一些很外向的朋友，慢慢的就打开了。你只是不好意思而已，勇敢的跟一个陌生人说话，然后两个、三个，慢慢的就好了	others
这年头玻璃心的人怎么这么多。29岁的人了，不管有你说的以上什么原因，对待女性及家人都应该有基本的底线和标准，为了自己不知道为什么的私欲，企图在QQ上就先以演戏的方式让别人厌恶，既不成熟也不尊重。调侃的就是这种人，活该	既然你说我是玻璃心，那你应该知道我那脆弱的心脏可承受不了你说我是玻璃心的事实，你看，已经碎得满地是渣渣了。礼尚往来是中华民族的传统美德，你既然送了我一颗晶莹的玻璃心，那我就回赠你几句话吧。首先，我对你对玻璃心的定义不认同，我不认为比你心里底线低的人都有颗玻璃心；其次，我不同意用自己讨厌的行为去恶心自己讨厌的人，那样，自己也就成了自己讨厌的那种人了是不？最后，我认为喜欢站在别人角度考虑问题的女孩最美了，而不是喜欢以自己的价值观为锚点，通过干掉自己不喜欢的人来实现世界和平的女孩。本来不想回的，只是评论区这么长，你还能看到并且评论我的话，还真不容易。	因为喜欢看大家如何调侃楼主的啊 然后偶尔看到个不一样的就顺手回复了 呵呵既没兴趣想干掉意见不同的你也没义务站在内心脆弱的角度去为他人着想 管我什么事嘛我们都是来看热闹的	others
医生要求的是低出错率和经验，难度嘛，至少从学的课程来看，真心一般，大部分理工科都可以秒杀医科！	医生难度低我就呵呵了。要么你去开个刀试试。	呵呵，你去车间车个零件给我看看	angry
真的有些绝望。。。我就是因为这种事情看的太多，加上自己发生过一些被尾随的事情，整一个被害妄想症，严重的时候从学校出发一个小时路程殚精竭虑在害怕，回到家哭个不停。我也想问我们还能做些什么。	其实我此前还是挺信任快捷酒店的，虽然也有过塞小广告夜半敲门什么的，现在想想也是心大。确实这种消息看多了就容易绝望，不过还是得努力保护自己……	嗯  	others
可是我觉得他新女友才丑呢我不能算漂亮但是也不会差家里虽然不是大富但也是中层往上比他家好多了虽然不是本地人但在本地有俩套房产	其實是這樣的〜〜如果是我我肯定不跟妳分〜這些都是些什麼人啊渣男那麼多悲哀	表酱其实我就是不甘心很难过不甘心	sad
